City,Population,Car,Transit,log_pop
"Fayetteville, NC",221533,0.9297156726768377,0.008971867577602136,5.345438428755066
"Huntsville, AL",244058,0.9415413742056978,0.002761725035540021,5.38749304800529
"Rochester, NY",207964,0.7431284241805182,0.11087001280575424,5.3179881621045935
"Oxnard, CA",213898,0.955247835174679,0.011592257010544832,5.330206723828075
"Moreno Valley, CA",201432,0.9583956782806398,0.013855535757425323,5.304128464824712
"Montgomery, AL",207671,0.9116835660528035,0.009227784757051301,5.3173758541696206
"Amarillo, TX",210620,0.9451290966454189,0.00822565078148415,5.32349960843175
"Salt Lake City, UT",198789,0.8876375637255531,0.06982733927381464,5.298392349017668
"Grand Prairie, TX",198818,0.9633993678214878,0.005195277389621643,5.29845570071921
"Frisco, TX",162005,0.9853507092264505,0.00383080783079573,5.209528418486457
"McKinney, TX",161096,0.9656077948420747,0.004567364747001955,5.207084757057986
"Aurora, IL",227169,0.9585642761441365,0.038409132943136956,5.356349066266526
"Glendale, CA",197895,0.8779575552723444,0.041868652039822145,5.296434821493706
"Grand Rapids, MI",206117,0.8703463342543212,0.0412580539123297,5.314113812748249
"Little Rock, AR",200072,0.9203264479646389,0.014294800852335926,5.301186313541936
"Huntington Beach, CA",203946,0.9624402223083882,0.009696098393396855,5.309515191903846
"Yonkers, NY",199725,0.7492701780354426,0.2781544503442463,5.300432429830641
"Akron, OH",210797,0.8577575127680737,0.04862283573087769,5.323864425835021
"Port St. Lucie, FL",188486,0.9661377591342939,0.0038597048554158677,5.2752790980508575
"Mobile, AL",219942,0.9139086719731881,0.008974974125863625,5.342308169908966
"Overland Park, KS",193813,0.9613761928679055,0.004254394191112976,5.287382903978491
"Tallahassee, FL",207456,0.9236180784482346,0.02476324911855207,5.31692599992281
"Knoxville, TN",242100,0.9056723476655997,0.01748568925893806,5.383994789441733
"Vancouver, WA",194573,0.9344150478114301,0.033140721724860385,5.289082575066188
"Chattanooga, TN",208242,0.8954137755965477,0.02203943404458978,5.318568326176826
"Peoria, AZ",172113,0.9542916673449123,0.006990389162956785,5.235813674598564
"Brownsville, TX",207998,0.9063639204249557,0.011041517049464562,5.318059159034205
"Shreveport, LA",210026,0.884504968715495,0.025596111407102384,5.322273061198585
"Columbus, GA",198021,0.8924947908864345,0.015166622398425054,5.296711249355006
"Worcester, MA",182167,0.8159788451534593,0.036204019713207185,5.260469706248739
"Sioux Falls, SD",168735,0.9434268525137003,0.009886055416684678,5.227205175833283
"Tempe, AZ",171314,0.8977436247385364,0.04899547666828882,5.233792855518354
"Cape Coral, FL",178909,0.9619087098705725,0.0026731494521165773,5.252632188258951
"Ontario, CA",181456,0.9532607009925558,0.0220052694769386,5.258771333097666
"Providence, RI",178851,0.8042242477702637,0.0796843446375291,5.252491372739211
"Newport News, VA",178948,0.9060331802913176,0.03762356020483007,5.252726848890775
